cust_id,risk_score,risk_level,last_updated
C0001,85,high,2026-07-18
C0002,42,medium,2026-07-18
C0003,15,low,2026-07-18
C0004,72,high,2026-07-18
C0005,38,low,2026-07-18
C0006,55,medium,2026-07-18
C0007,92,high,2026-07-18
C0008,28,low,2026-07-18
C0009,48,medium,2026-07-18
C0010,18,low,2026-07-18
C0011,68,medium,2026-07-18
C0012,78,high,2026-07-18
C0013,35,low,2026-07-18
C0014,52,medium,2026-07-18
C0015,88,high,2026-07-18
C0016,22,low,2026-07-18
C0017,45,medium,2026-07-18
C0018,75,high,2026-07-18
C0019,32,low,2026-07-18
C0020,58,medium,2026-07-18
C0021,82,high,2026-07-18
C0022,19,low,2026-07-18
C0023,49,medium,2026-07-18
C0024,65,medium,2026-07-18
C0025,25,low,2026-07-18
C0026,71,high,2026-07-18
C0027,42,medium,2026-07-18
C0028,15,low,2026-07-18
C0029,53,medium,2026-07-18
C0030,87,high,2026-07-18
C0031,29,low,2026-07-18
C0032,46,medium,2026-07-18
C0033,76,high,2026-07-18
C0034,34,low,2026-07-18
C0035,57,medium,2026-07-18
C0036,80,high,2026-07-18
C0037,21,low,2026-07-18
C0038,44,medium,2026-07-18
C0039,73,high,2026-07-18
C0040,38,low,2026-07-18
C0041,62,medium,2026-07-18
C0042,90,high,2026-07-18
C0043,17,low,2026-07-18
C0044,48,medium,2026-07-18
C0045,66,medium,2026-07-18
C0046,31,low,2026-07-18
C0047,55,medium,2026-07-18
C0048,83,high,2026-07-18
C0049,26,low,2026-07-18
C0050,50,medium,2026-07-18
